Project,instance,module,cell_count,cell_area_um2,net_area_um2,total_area_um2,area_percent
Conv2x2-conv-i16-h16-t00-o4-m16-all,matrix_c0,MatrixC0,1586,938.7,427.151,1365.851,5.905
Conv2x2-conv-i16-h16-t00-o4-m16-all,matrix_c1,MatrixC1,1338,891.828,358.5,1250.328,5.406
Conv2x2-conv-i16-h16-t04-o4-m08-stream04,Conv,Conv,10338,11091.024,4664.783,15755.807,100.0
Conv2x2-conv-i16-h16-t04-o4-m08-stream04,inverse_row_acc,InverseRowAccumulate,238,265.608,59.014,324.622,2.06
Conv2x2-conv-i16-h16-t04-o4-m08-stream04,inverse_row_acc_second,InverseRowAccumulate_204,160,189.756,34.681,224.437,1.424
Conv2x2-conv-i16-h16-t04-o4-m08-stream04,inverse_row_current,InverseRow,97,169.848,33.045,202.893,1.288
Conv2x2-conv-i16-h16-t04-o4-m08-stream04,inverse_row_lane1,InverseRow_203,97,169.848,33.045,202.893,1.288
Conv2x2-conv-i16-h16-t04-o4-m08-stream04,multip0,Multip,613,650.538,265.141,915.679,5.812
Conv2x2-conv-i16-h16-t04-o4-m08-stream04,multip1,Multip_211,604,652.932,263.615,916.547,5.817
Conv2x2-conv-i16-h16-t04-o4-m08-stream04,multip2,Multip_210,597,627.984,245.026,873.01,5.541
Conv2x2-conv-i16-h16-t04-o4-m08-stream04,multip3,Multip_209,604,653.058,263.615,916.673,5.818
Conv2x2-conv-i16-h16-t04-o4-m08-stream04,multip4,Multip_208,601,634.788,249.638,884.426,5.613
Conv2x2-conv-i16-h16-t04-o4-m08-stream04,multip5,Multip_207,600,635.292,249.877,885.169,5.618
Conv2x2-conv-i16-h16-t04-o4-m08-stream04,multip6,Multip_206,609,636.552,251.876,888.428,5.639
Conv2x2-conv-i16-h16-t04-o4-m08-stream04,multip7,Multip_205,600,635.292,249.877,885.169,5.618
Conv2x2-conv-i16-h16-t04-o4-m08-stream04,trf,Transform,2337,1692.18,773.964,2466.144,15.652
Conv2x2-conv-i16-h16-t04-o4-m08-stream04,matrix_c0,MatrixC0,1325,883.386,355.997,1239.383,7.866
Conv2x2-conv-i16-h16-t04-o4-m08-stream04,matrix_c1,MatrixC1,1012,808.794,266.215,1075.009,6.823
Conv2x2-conv-i16-h16-t08-o4-m08-stream08,Conv,Conv,10254,11018.826,4641.563,15660.389,100.0
Conv2x2-conv-i16-h16-t08-o4-m08-stream08,inverse_row_acc,InverseRowAccumulate,238,265.608,59.014,324.622,2.073
Conv2x2-conv-i16-h16-t08-o4-m08-stream08,inverse_row_acc_second,InverseRowAccumulate_213,160,189.756,34.681,224.437,1.433
Conv2x2-conv-i16-h16-t08-o4-m08-stream08,inverse_row_current,InverseRow,97,169.848,33.045,202.893,1.296
Conv2x2-conv-i16-h16-t08-o4-m08-stream08,inverse_row_lane1,InverseRow_212,97,169.848,33.045,202.893,1.296
Conv2x2-conv-i16-h16-t08-o4-m08-stream08,multip0,Multip,599,626.472,246.268,872.74,5.573
Conv2x2-conv-i16-h16-t08-o4-m08-stream08,multip1,Multip_220,597,627.228,245.272,872.5,5.571
Conv2x2-conv-i16-h16-t08-o4-m08-stream08,multip2,Multip_219,598,626.22,245.893,872.113,5.569
Conv2x2-conv-i16-h16-t08-o4-m08-stream08,multip3,Multip_218,597,627.984,245.272,873.256,5.576
Conv2x2-conv-i16-h16-t08-o4-m08-stream08,multip4,Multip_217,601,635.04,250.0,885.04,5.651
Conv2x2-conv-i16-h16-t08-o4-m08-stream08,multip5,Multip_216,601,635.796,250.129,885.925,5.657
Conv2x2-conv-i16-h16-t08-o4-m08-stream08,multip6,Multip_215,608,637.056,251.869,888.925,5.676
Conv2x2-conv-i16-h16-t08-o4-m08-stream08,multip7,Multip_214,601,635.922,250.129,886.051,5.658
Conv2x2-conv-i16-h16-t08-o4-m08-stream08,trf,Transform,2354,1696.59,778.478,2475.068,15.805
Conv2x2-conv-i16-h16-t08-o4-m08-stream08,matrix_c0,MatrixC0,1310,878.724,351.722,1230.446,7.857
